"filename","task_id","x_loc","y_loc"
"DJI_0147_16.jpeg","T0",814.586120605469,478.869750976562
"DJI_0147_16.jpeg","T0",807.485412597656,308.453460693359
"DJI_0147_16.jpeg","T0",868.55126953125,258.748718261719
"DJI_0147_16.jpeg","T0",466.652862548828,606.681945800781
"DJI_0147_16.jpeg","T0",796.124328613281,532.834899902344
"DJI_0147_16.jpeg","T0",800.384765625,268.689666748047
"DJI_0147_16.jpeg","T0",857.190185546875,319.814544677734
"DJI_0080_3.jpeg","T1",353.364166259766,471.065612792969
"DJI_0080_3.jpeg","T1",323.513885498047,289.121154785156
"DJI_0080_3.jpeg","T1",317.828125,525.080383300781
"DJI_0080_3.jpeg","T1",408.800354003906,559.194946289062
"DJI_0080_3.jpeg","T2",708.724426269531,573.409362792969
"DJI_0080_3.jpeg","T2",914.833435058594,442.636779785156
"DJI_0080_3.jpeg","T2",747.103393554688,279.171051025391
"DJI_0080_3.jpeg","T2",917.676330566406,264.956634521484
"DJI_0080_3.jpeg","T2",626.280883789062,399.993560791016
"DJI_0080_3.jpeg","T2",747.103393554688,73.0620803833008
"DJI_0080_3.jpeg","T2",988.748352050781,310.442749023438
"DJI_0192_16.jpeg","T0",167.96875,334
"DJI_0192_16.jpeg","T0",457.96875,598
"DJI_0192_16.jpeg","T0",122.96875,29
"DJI_0192_16.jpeg","T0",413.96875,70
"DJI_0192_16.jpeg","T0",446.96875,232
"DJI_0192_16.jpeg","T0",395.96875,395
"DJI_0192_16.jpeg","T0",392.96875,544
"DJI_0192_16.jpeg","T0",88.96875,288
"DJI_0192_16.jpeg","T1",400.96875,597
"DJI_0192_16.jpeg","T1",433.96875,670
"DJI_0192_16.jpeg","T1",347.96875,595
"DJI_0192_16.jpeg","T1",346.96875,639
"DJI_0192_16.jpeg","T1",101.96875,439
"DJI_0192_16.jpeg","T1",214.96875,314
"DJI_0192_16.jpeg","T1",237.96875,367
"DJI_0192_16.jpeg","T1",157.96875,270
"DJI_0192_16.jpeg","T1",19.96875,261
"DJI_0192_16.jpeg","T1",154.96875,120
"DJI_0192_16.jpeg","T1",194.96875,129
"DJI_0192_16.jpeg","T1",143.96875,223
"DJI_0192_16.jpeg","T1",73.96875,221
"DJI_0192_16.jpeg","T1",69.96875,107
"DJI_0192_16.jpeg","T1",50.96875,80
"DJI_0192_16.jpeg","T1",30.96875,63
"DJI_0192_16.jpeg","T1",55.96875,25
"DJI_0192_16.jpeg","T1",100.96875,25
"DJI_0192_16.jpeg","T1",176.96875,33
"DJI_0192_16.jpeg","T1",267.96875,57
"DJI_0192_16.jpeg","T1",368.96875,104
"DJI_0192_16.jpeg","T1",336.96875,199
"DJI_0192_16.jpeg","T1",424.96875,179
"DJI_0192_16.jpeg","T1",471.96875,114
"DJI_0192_16.jpeg","T1",532.96875,138
"DJI_0192_16.jpeg","T1",453.96875,44
"DJI_0192_16.jpeg","T1",542.96875,69
"DJI_0192_16.jpeg","T1",353.96875,30
"DJI_0192_16.jpeg","T1",315.96875,63
"DJI_0192_16.jpeg","T1",468.96875,225
"DJI_0192_16.jpeg","T1",367.96875,284
"DJI_0192_16.jpeg","T1",357.96875,337
"DJI_0192_16.jpeg","T1",334.96875,372
"DJI_0192_16.jpeg","T1",353.96875,448
"DJI_0192_16.jpeg","T1",506.96875,472
"DJI_0192_16.jpeg","T1",470.96875,431
"DJI_0192_16.jpeg","T1",447.96875,392
"DJI_0192_16.jpeg","T1",435.96875,362
"DJI_0192_16.jpeg","T1",494.96875,288
"DJI_0192_16.jpeg","T1",548.96875,304
"DJI_0192_16.jpeg","T1",463.96875,267
"DJI_0192_16.jpeg","T1",493.96875,233
"DJI_0192_16.jpeg","T1",414.96875,511
"DJI_0192_16.jpeg","T1",744.96875,662
"DJI_0192_16.jpeg","T1",749.96875,703
"DJI_0192_16.jpeg","T1",644.96875,704
"DJI_0192_16.jpeg","T1",609.96875,681
"DJI_0192_16.jpeg","T1",694.96875,624
"DJI_0192_16.jpeg","T1",659.96875,541
"DJI_0192_16.jpeg","T1",628.96875,509
"DJI_0192_16.jpeg","T1",597.96875,489
"DJI_0192_16.jpeg","T1",711.96875,456
"DJI_0192_16.jpeg","T1",684.96875,443
"DJI_0192_16.jpeg","T1",678.96875,391
"DJI_0192_16.jpeg","T1",639.96875,389
"DJI_0192_16.jpeg","T1",744.96875,299
"DJI_0192_16.jpeg","T1",746.96875,268
"DJI_0192_16.jpeg","T1",772.96875,235
"DJI_0192_16.jpeg","T1",667.96875,263
"DJI_0192_16.jpeg","T1",631.96875,282
"DJI_0192_16.jpeg","T1",616.96875,256
"DJI_0192_16.jpeg","T1",702.96875,222
"DJI_0192_16.jpeg","T1",728.96875,98
"DJI_0192_16.jpeg","T1",707.96875,69
"DJI_0192_16.jpeg","T1",651.96875,90
"DJI_0192_16.jpeg","T1",638.96875,126
"DJI_0192_16.jpeg","T1",738.96875,25
"DJI_0192_16.jpeg","T1",946.96875,83
"DJI_0192_16.jpeg","T1",923.96875,114
"DJI_0192_16.jpeg","T1",928.96875,201
"DJI_0192_16.jpeg","T1",917.96875,171
"DJI_0192_16.jpeg","T1",949.96875,180
"DJI_0192_16.jpeg","T1",1008.96875,135
"DJI_0192_16.jpeg","T1",979.96875,67
"DJI_0192_16.jpeg","T1",1006.96875,28
"DJI_0192_16.jpeg","T1",984.96875,372
"DJI_0192_16.jpeg","T1",943.96875,358
"DJI_0192_16.jpeg","T1",944.96875,404
"DJI_0192_16.jpeg","T1",912.96875,330
"DJI_0192_16.jpeg","T1",1008.96875,265
"DJI_0192_16.jpeg","T1",1058.96875,252
"DJI_0192_16.jpeg","T1",1072.96875,298
"DJI_0192_16.jpeg","T1",1074.96875,348
"DJI_0192_16.jpeg","T1",1062.96875,440
"DJI_0192_16.jpeg","T1",1018.96875,482
"DJI_0192_16.jpeg","T1",1019.96875,431
"DJI_0192_16.jpeg","T1",964.96875,501
"DJI_0192_16.jpeg","T1",941.96875,469
"DJI_0192_16.jpeg","T1",959.96875,436
"DJI_0192_16.jpeg","T1",908.96875,458
"DJI_0192_16.jpeg","T1",869.96875,461
"DJI_0192_16.jpeg","T1",922.96875,564
"DJI_0192_16.jpeg","T1",889.96875,594
"DJI_0192_16.jpeg","T1",858.96875,614
"DJI_0192_16.jpeg","T1",879.96875,645
"DJI_0192_16.jpeg","T1",1009.96875,611
"DJI_0192_16.jpeg","T1",1055.96875,612
"DJI_0192_16.jpeg","T1",1008.96875,529
"DJI_0192_16.jpeg","T1",979.96875,530
"DJI_0137_8.jpeg","T0",330.851409912109,37.0878562927246
"DJI_0137_8.jpeg","T1",577.996520996094,190.266326904297
"DJI_0137_8.jpeg","T1",870.194091796875,340.870361328125
"DJI_0137_8.jpeg","T1",673.250366210938,558.409545898438
"DJI_0137_8.jpeg","T1",279.362854003906,420.677642822266
"DJI_0137_8.jpeg","T2",235.597579956055,197.989608764648
"DJI_0153_24.jpeg","T1",750.46875,410
"DJI_0153_24.jpeg","T1",675.46875,595
"DJI_0153_24.jpeg","T1",557.46875,607
"DJI_0153_24.jpeg","T1",397.46875,373
"DJI_0153_24.jpeg","T1",294.46875,386
"DJI_0153_24.jpeg","T1",251.46875,403
"DJI_0153_24.jpeg","T1",263.46875,523
"DJI_0153_24.jpeg","T1",235.46875,601
"DJI_0153_24.jpeg","T1",280.46875,616
"DJI_0153_24.jpeg","T1",204.46875,662
"DJI_0153_24.jpeg","T1",199.46875,684
"DJI_0153_24.jpeg","T1",70.46875,449
"DJI_0153_24.jpeg","T1",52.46875,389
"DJI_0153_24.jpeg","T2",361.46875,236
"DJI_0153_24.jpeg","T2",488.46875,237
"DJI_0153_24.jpeg","T2",537.46875,318
"DJI_0153_24.jpeg","T2",581.46875,382
"DJI_0153_24.jpeg","T2",590.46875,240
"DJI_0153_24.jpeg","T2",203.46875,137
"DJI_0153_24.jpeg","T2",72.46875,90
"DJI_0153_24.jpeg","T2",996.46875,322
"DJI_0153_24.jpeg","T2",935.46875,485
"DJI_0153_24.jpeg","T2",734.46875,518
"DJI_0153_24.jpeg","T2",875.46875,691
"DJI_0153_24.jpeg","T2",1021.46875,681
"DJI_0113_20.jpeg","T0",202.123168945312,264.929992675781
"DJI_0113_20.jpeg","T1",190.538024902344,98.876091003418
"DJI_0113_20.jpeg","T1",258.76171875,371.770904541016
"DJI_0113_20.jpeg","T1",225.293487548828,639.516723632812
"DJI_0113_20.jpeg","T1",467.294525146484,344.738861083984
"DJI_0113_20.jpeg","T2",953.87109375,347.313354492188
"DJI_0113_20.jpeg","T2",1006.64794921875,223.738342285156
"DJI_0113_20.jpeg","T2",947.434936523438,125.908126831055
"DJI_0113_20.jpeg","T2",871.48779296875,132.344329833984
"DJI_0008_10.jpeg","T0",110.96875,272
"DJI_0008_10.jpeg","T0",93.96875,198
"DJI_0008_10.jpeg","T0",60.96875,473
"DJI_0008_10.jpeg","T0",91.96875,346
"DJI_0008_10.jpeg","T1",1010.96875,242
"DJI_0008_10.jpeg","T1",942.96875,226
"DJI_0008_10.jpeg","T1",959.96875,263
"DJI_0008_10.jpeg","T1",928.96875,278
"DJI_0008_10.jpeg","T1",992.96875,119
"DJI_0008_10.jpeg","T1",1019.96875,130
